"lat","lon","years","surv_int","cases","low_age","up_age","examined","pfpos","pr","region","yr_start","yr_end","pyor"
14.7170,-17.4500,"1996-1997",7,26,1,80,,,1.29,"Africa",1996,1997,1067.0
13.9330,35.4980,"1995-1995",2,108,0,88,914,16,2.29,"Africa",1995,1995,421.0
0.3230,34.9991,"2001-2004",7,,0,99,548,,4.72,"Africa",2001,2004,
-26.9711,32.2877,"1996-1996",7,2725,0,99,1740,122,9.17,"Africa",1996,1996,13099.0
1.2206,37.3264,"2001-2004",7,13,0,4,107,10,10.42,"Africa",2001,2004,238.0
13.9330,35.4980,"1993-1993",2,158,0,88,881,78,11.6,"Africa",1993,1993,415.0
13.9330,35.4980,"1994-1994",2,176,0,88,881,78,11.6,"Africa",1994,1994,432.0
12.6500,-7.9330,"1999-2000",7,576,0,20,2245,239,11.71,"Africa",1999,2000,766.4
14.4410,-3.0100,"1999-2000",3,292,0,99,969,138,18.66,"Africa",1999,2000,552.0
-18.3160,47.1180,"1993-1996",2,949,0,95,14580,2088,18.74,"Africa",1993,1996,3316.0
-3.5210,39.8533,"1999-2000",7,583,1,9,1117,244,22.02,"Africa",1999,2000,779.1
-3.5210,39.8533,"2000-2001",7,882,1,9,1074,305,28.63,"Africa",2000,2001,910.4
14.4850,-3.0630,"1999-2000",3,1390,0,99,1053,4382,31.49,"Africa",1999,2000,1970.0
13.6830,-16.3830,"1993-1994",7,565,0,14,1705,510,31.69,"Africa",1993,1994,351.0
15.2780,-14.8650,"1994-1995",10,84,0,14,321,110,36.3,"Africa",1994,1995,123.0
-3.7252,39.7203,"2000-2001",7,609,1,9,1017,390,38.66,"Africa",2000,2001,843.3
-3.7252,39.7203,"1999-2000",7,415,1,9,1091,467,43.15,"Africa",1999,2000,745.8
12.8000,-7.8330,"1999-2000",7,533,0,20,2125,1086,56.26,"Africa",1999,2000,767.6
14.3440,-3.6060,"1999-1999",7,199,0,10,5328,3309,64.98,"Africa",1999,1999,157.8
14.3440,-3.6060,"1999-1999",7,202,0,10,5328,3309,64.98,"Africa",1999,1999,157.3
,,,,,,,,,,,,,
-4.9450,-80.5220,"1996-1997",7,6,0,99,954,2,0.28,"America",1996,1997,4510.0
15.2570,-89.1010,"1990-1991",14,11,0,99,1024,4,0.51,"America",1990,1991,350.0
-4.8930,-80.4740,"1996-1997",7,42,0,99,741,3,0.52,"America",1996,1997,4598.0
-8.7890,-63.7910,"1989-1991",7,,0,99,1090,5,0.6,"America",1989,1991,
-9.0860,-63.6680,"1996-1996",7,4,0,99,193,1,0.66,"America",1996,1996,145.0
7.6300,-64.8300,"1988-1989",14,49,11,90,11117,49,0.74,"America",1988,1989,940.8
7.6300,-64.8300,"1989-1990",14,56,11,90,11117,49,0.74,"America",1989,1990,825.3
7.6300,-64.8300,"1988-1989",14,89,11,90,11117,49,0.74,"America",1988,1989,940.8
-10.2416,-67.2083,"2004-2005",2,108,5,99,1109,8,1,"America",2004,2005,636.3
-9.0860,-63.6680,"1991-1992",7,64,0,99,505,4,1.04,"America",1991,1992,168.0
-9.0870,-63.6680,"1991-1992",7,69,0,99,505,4,1.04,"America",1991,1992,144.1
2.6390,-65.2111,"1999-2000",14,73,"6 mths",99,293,3,1.33,"America",1999,2000,835.1
-4.8560,-80.5230,"1996-1997",7,175,0,99,703,9,1.68,"America",1996,1997,3324.0
-3.6986,-73.2775,"1997-1998",7,232,0,99,1022,13,1.7,"America",1997,1998,1400.0
-8.6080,-63.6100,"1998-1999",3,28,0,99,442,6,1.8,"America",1998,1999,175.0
-10.2770,-54.9840,"1996-1997",7,22,0,99,679,16,3.15,"America",1996,1997,521.0
2.6390,-65.2111,"1999-2000",14,108,"6 mths",99,332,14,5.48,"America",1999,2000,916.7
-8.7860,-63.9180,"2001-2001",7,22,0,99,310,19,7.19,"America",2001,2001,270.0
2.5470,-64.7680,"1993-1994",7,32,0,99,"1,311",87,8.65,"America",1993,1994,625.3
3.8550,-65.6950,"1993-1994",7,32,0,99,"1,311",87,8.65,"America",1993,1994,1122.7
-8.7860,-63.9180,"2002-2002",7,22,0,99,118,11,12.22,"America",2002,2002,270.0
,,,,,,,,,,,,,
15.7510,108.3170,"1999-2000",7,0,0,99,,,0.01,"Asia",1999,2000,750.0
28.5230,77.6370,"2004-2006",14,3,0,99,715,0,0.01,"Asia",2004,2006,4000.0
,,"1995-1995",10,13,,,,,0.1,"Asia",1995,1995,2900.0
9.1840,105.3190,"1999-2001",7,12,0,99,1928,8,0.54,"Asia",1999,2001,910.2
28.5730,77.6790,"1999-2000",14,28,,0,99,1392,1.18,"Asia",1999,2000,1020.0
28.5730,77.6790,"1999-2000",14,14,,0,99,1392,1.18,"Asia",1999,2000,1950.0
28.5490,77.5540,"1999-2000",7,82,,0,99,1392,1.18,"Asia",1999,2000,6520.0
,,"1995-1996",7,19,,0,99,1392,1.18,"Asia",1995,1996,693.0
21.9843,84.8033,"2001-2003",7,210,0,99,7053,89,1.65,"Asia",2001,2003,6489.0
10.9670,107.6330,"1999-2001",7,102,0,99,1966,28,1.86,"Asia",1999,2001,956.7
28.4880,77.6090,"2004-2006",14,18,0,99,703,12,2.24,"Asia",2004,2006,3600.0
22.0310,85.8280,"2001-2001",7,86,0,99,3002,57,2.49,"Asia",2001,2001,2163.0
13.1480,78.2960,"1994-1996",14,15,0,99,617,12,2.54,"Asia",1994,1996,1194.0
13.1410,78.1360,"1994-1996",14,3,0,99,617,12,2.54,"Asia",1994,1996,1188.0
13.1040,77.9820,"1994-1994",14,1,0,99,617,12,2.54,"Asia",1994,1994,390.0
17.8193,81.5799,"1988-1989",14,114,0,99,1804,39,2.88,"Asia",1988,1989,2441.0
18.2748,82.1977,"1988-1989",14,64,0,99,6259,160,3.35,"Asia",1988,1989,1234.0
16.9800,98.5200,"1993-1994",7,71,0,99,3013,80,3.49,"Asia",1993,1994,757.0
23.0650,105.8310,"1990-1992",7,30,,,,,5,"Asia",1990,1992,12308.0
,,"1990-1991",7,11,0,99,519,24,6.03,"Asia",1990,1991,3565.0
8.1340,80.7330,"1994-1995",2,122,0,99,560,26,6.08,"Asia",1994,1995,280.0
22.4250,109.1590,"1990-1990",7,29,0,99,524,25,6.16,"Asia",1990,1990,18920.0
18.8670,82.0640,"1987-1987",14,1080,0,99,10058,484,6.32,"Asia",1987,1987,15303.0
,,"2003-2003",14,33,0,99,1012,32,6.62,"Asia",2003,2003,506.0
25.4140,107.8800,"1990-1990",7,101,0,99,710,38,6.95,"Asia",1990,1990,2889.0
17.4160,98.1760,"1991-1992",7,121,,,,,6.98,"Asia",1991,1992,356.0
17.4160,98.1760,"1992-1992",7,130,0,14,349,23,6.98,"Asia",1992,1992,345.0
28.5060,77.6170,"2004-2006",14,67,0,99,692,39,7.39,"Asia",2004,2006,2000.0
18.2793,82.3059,"1988-1989",14,449,0,99,1608,95,7.82,"Asia",1988,1989,2360.0
22.2810,84.7390,"1991-1994",7,231,0,99,151,10,8.68,"Asia",1991,1994,2407.0
21.4330,85.6150,"1994-1994",14,1279,0,99,1049,88,11,"Asia",1994,1994,28225.0
18.9670,84.2160,"1994-1996",14,2351,0,99,1042,93,11.7,"Asia",1994,1996,67566.0
25.3710,107.8560,"1990-1991",7,188,0,99,"1,994",179,11.79,"Asia",1990,1991,12423.0
22.3010,84.7830,"1991-1993",7,329,0,99,223,21,12.35,"Asia",1991,1993,2731.0
13.2670,101.4320,"1989-1989",7,33,0,99,253,24,12.44,"Asia",1989,1989,242.0
13.2670,101.4320,"1987-1988",7,12,0,99,253,24,12.44,"Asia",1987,1988,82.2
13.2670,101.4320,"1989-1990",7,8,0,99,253,24,12.44,"Asia",1989,1990,242.0
21.6830,85.2650,"1987-1988",14,252,0,99,12122,1285,13.85,"Asia",1987,1988,1476.0
18.6039,82.0804,"1988-1989",14,97,0,99,,,13.89,"Asia",1988,1989,712.0
22.1619,84.7567,"2001-2003",7,1828,0,99,7807,833,13.98,"Asia",2001,2003,6174.0
22.2480,85.0480,"2003-2003",14,29,0,99,542,59,14.15,"Asia",2003,2003,271.0
22.0310,85.8280,"2001-2001",7,611,0,99,3134,340,14.22,"Asia",2001,2001,2058.0
22.2810,84.7390,"1990-1991",7,156,0,99,174,19,14.31,"Asia",1990,1991,1147.0
12.9160,102.3820,"1989-1990",7,21,0,99,451,50,14.53,"Asia",1989,1990,421.0
26.1160,91.9820,"1990-1992",7,8026,0,99,5969,834,18.31,"Asia",1990,1992,67545.0
26.6010,94.1990,"2001-2002",7,174,0,99,,,19,"Asia",2001,2002,2625.0
22.3460,84.7910,"1991-1993",7,797,0,99,258,38,19.3,"Asia",1991,1993,1622.0
22.3010,84.7830,"1990-1991",7,285,0,99,230,35,19.95,"Asia",1990,1991,1226.0
22.1330,84.7990,"2003-2003",14,42,0,99,734,126,22.54,"Asia",2003,2003,367.0
22.1749,84.7850,"1998-2000",7,515,0,99,769,136,23.07,"Asia",1998,2000,793.0
23.0300,80.3200,"1987-1995",7,288,5,14,573,129,23.34,"Asia",1987,1995,3870.0
23.0700,80.1300,"1987-1995",7,412,5,14,573,129,23.34,"Asia",1987,1995,4671.0
22.1500,77.1700,"1987-1995",7,457,5,14,573,129,23.34,"Asia",1987,1995,7470.0
22.5200,79.0300,"1987-1995",7,394,5,14,573,129,23.34,"Asia",1987,1995,2745.0
,,"2003-2003",7,5,0,15,782,174,23.75,"Asia",2003,2003,545.0
,,"2003-2003",7,30,0,15,782,174,23.75,"Asia",2003,2003,320.0
,,"2003-2003",7,54,0,15,782,174,23.75,"Asia",2003,2003,1252.0
22.2660,84.9830,"1988-1989",7,5905,2,9,370,88,23.78,"Asia",1988,1989,41282.0
18.3780,82.1830,"1998-2000",14,86,1,14,276,88,32.83,"Asia",1998,2000,937.3
18.3300,82.0840,"1998-2000",14,201,1,14,310,125,41.52,"Asia",1998,2000,948.8
18.9827,82.7162,"1988-1989",14,152,0,99,339,115,44.45,"Asia",1988,1989,377.0
18.4500,96.5330,"1995-1997",7,91,0,99,3034,1105,47.73,"Asia",1995,1997,348.0
22.3460,84.7910,"1990-1991",7,286,0,99,103,38,48.35,"Asia",1990,1991,786.0
19.1811,82.5268,"1988-1989",14,91,0,99,227,86,49.66,"Asia",1988,1989,1137.0
18.2810,81.9850,"1998-2000",14,120,1,14,238,124,53.66,"Asia",1998,2000,960.3
19.5329,82.4276,"1988-1989",14,50,0,99,101,45,58.38,"Asia",1988,1989,118.0
19.7854,82.1661,"1988-1989",14,285,0,99,387,190,65,"Asia",1988,1989,698.0
