"region","lat","long","Survey years","Freq of ACD","PfPR2-10"
"Africa+",14.72,-17.45,"1996-1997",7,1.29
"Africa+",13.93,35.5,"1995-1995",2,2.29
"Africa+",13.93,35.5,"1993-1993",2,11.6
"Africa+",13.93,35.5,"1994-1994",2,11.6
"Africa+",0.32,35,"2001-2004",7,4.72
"Africa+",-26.97,32.29,"1996-1996",7,9.17
"Africa+",1.22,37.33,"2001-2004",7,10.42
"Africa+",12.65,-7.93,"1999-2000",7,11.71
"Africa+",12.8,-7.83,"1999-2000",7,56.26
"Africa+",14.44,-3.01,"1999-2000",3,18.66
"Africa+",14.49,-3.06,"1999-2000",3,31.49
"Africa+",-18.32,47.12,"1993-1996",2,18.74
"Africa+",13.68,-16.38,"1993-1994",7,31.69
"Africa+",15.28,-14.87,"1994-1995",10,36.3
"Africa+",14.34,-3.61,"1999-1999",7,64.98
"Africa+",14.34,-3.61,"1999-1999",7,64.98
"America",-4.95,-80.52,"1996-1997",7,0.28
"America",-4.89,-80.47,"1996-1997",7,0.52
"America",-4.86,-80.52,"1996-1997",7,1.68
"America",15.26,-89.1,"1990-1991",14,0.51
"America",-8.79,-63.79,"1989-1991",7,0.6
"America",-9.09,-63.67,"1996-1996",7,0.66
"America",7.63,-64.83,"1988-1989",14,0.74
"America",7.63,-64.83,"1989-1990",14,0.74
"America",7.63,-64.83,"1988-1989",14,0.74
"America",-10.24,-67.21,"2004-2005",2,1
"America",-9.09,-63.67,"1991-1992",7,1.04
"America",-9.09,-63.67,"1991-1992",7,1.04
"America",2.64,-65.21,"1999-2000",14,5.48
"America",2.64,-65.21,"1999-2000",14,1.33
"America",-3.7,-73.28,"1997-1998",7,1.7
"America",-8.61,-63.61,"1998-1999",3,1.8
"America",-10.28,-54.98,"1996-1997",7,3.15
"America",-8.79,-63.92,"2001-2001",7,7.19
"America",-8.79,-63.92,"2002-2002",7,12.22
"America",2.55,-64.77,"1993-1994",7,8.65
"America",3.86,-65.7,"1993-1994",7,8.65
"CSE Asia",15.75,108.32,"1999-2000",7,0.01
"CSE Asia",28.49,77.61,"2004-2006",14,2.24
"CSE Asia",28.51,77.62,"2004-2006",14,7.39
"CSE Asia",28.52,77.64,"2004-2006",14,0.01
"CSE Asia",,,"1995-1995",10,0.1
"CSE Asia",9.18,105.32,"1999-2001",7,0.54
"CSE Asia",28.57,77.68,"1999-2000",14,1.18
"CSE Asia",28.57,77.68,"1999-2000",14,1.18
"CSE Asia",28.55,77.55,"1999-2000",7,1.18
"CSE Asia",,,"1995-1996",7,1.18
"CSE Asia",21.98,84.8,"2001-2003",7,1.65
"CSE Asia",22.16,84.76,"2001-2003",7,13.98
"CSE Asia",10.97,107.63,"1999-2001",7,1.86
"CSE Asia",22.03,85.83,"2001-2001",7,2.49
"CSE Asia",22.03,85.83,"2001-2001",7,14.22
"CSE Asia",13.1,77.98,"1994-1994",14,2.54
"CSE Asia",13.14,78.14,"1994-1996",14,2.54
"CSE Asia",13.15,78.3,"1994-1996",14,2.54
"CSE Asia",17.82,81.58,"1988-1989",14,2.88
"CSE Asia",18.27,82.2,"1988-1989",14,3.35
"CSE Asia",18.28,82.31,"1988-1989",14,7.82
"CSE Asia",18.6,82.08,"1988-1989",14,13.89
"CSE Asia",18.98,82.72,"1988-1989",14,44.45
"CSE Asia",19.18,82.53,"1988-1989",14,49.66
"CSE Asia",19.53,82.43,"1988-1989",14,58.38
"CSE Asia",19.79,82.17,"1988-1989",14,65
"CSE Asia",18.87,82.06,"1987-1987",14,6.32
"CSE Asia",16.98,98.52,"1993-1994",7,3.49
"CSE Asia",25.37,107.86,"1990-1991",7,11.79
"CSE Asia",25.41,107.88,"1990-1990",7,6.95
"CSE Asia",22.43,109.16,"1990-1990",7,6.16
"CSE Asia",23.07,105.83,"1990-1992",7,5
"CSE Asia",,,"1990-1991",7,6.03
"CSE Asia",8.13,80.73,"1994-1995",2,6.08
"CSE Asia",22.25,85.05,"2003-2003",14,14.15
"CSE Asia",22.13,84.8,"2003-2003",14,22.54
"CSE Asia",,,"2003-2003",14,6.62
"CSE Asia",17.42,98.18,"1991-1992",7,6.98
"CSE Asia",17.42,98.18,"1992-1992",7,6.98
"CSE Asia",22.28,84.74,"1991-1994",7,8.68
"CSE Asia",22.28,84.74,"1990-1991",7,14.31
"CSE Asia",22.3,84.78,"1991-1993",7,12.35
"CSE Asia",22.3,84.78,"1990-1991",7,19.95
"CSE Asia",22.35,84.79,"1991-1993",7,19.3
"CSE Asia",22.35,84.79,"1990-1991",7,48.35
"CSE Asia",18.97,84.22,"1994-1996",14,11.7
"CSE Asia",21.43,85.62,"1994-1994",14,11
"CSE Asia",13.27,101.43,"1989-1989",7,12.44
"CSE Asia",13.27,101.43,"1989-1990",7,12.44
"CSE Asia",13.27,101.43,"1987-1988",7,12.44
"CSE Asia",21.68,85.27,"1987-1988",14,13.85
"CSE Asia",12.92,102.38,"1989-1990",7,14.53
"CSE Asia",26.12,91.98,"1990-1992",7,18.31
"CSE Asia",26.6,94.2,"2001-2002",7,19
"CSE Asia",22.17,84.79,"1998-2000",7,23.07
"CSE Asia",22.15,77.17,"1987-1995",7,23.34
"CSE Asia",22.52,79.03,"1987-1995",7,23.34
"CSE Asia",23.03,80.32,"1987-1995",7,23.34
"CSE Asia",23.07,80.13,"1987-1995",7,23.34
"CSE Asia",,,"2003-2003",7,23.75
"CSE Asia",,,"2003-2003",7,23.75
"CSE Asia",,,"2003-2003",7,23.75
"CSE Asia",22.27,84.98,"1988-1989",7,23.78
"CSE Asia",18.28,81.99,"1998-2000",14,53.66
"CSE Asia",18.33,82.08,"1998-2000",14,41.52
"CSE Asia",18.38,82.18,"1998-2000",14,32.83
"CSE Asia",18.45,96.53,"1995-1997",7,47.73
"Africa+",-3.73,39.72,"2000-2001",7,38.66
"Africa+",-3.73,39.72,"1999-2000",7,43.15
"Africa+",-3.52,39.85,"1999-2000",7,22.02
"Africa+",-3.52,39.85,"2000-2001",7,28.63
